0,1,2,3,4,5,6,7,8,9,10,11
name,0 - 1,1 - 2,2 - 3,3 - 4,4 - 5,5 - 6,6 - 7,7 - 8,8 - 9,9 - 10,adjusted mean
PD5-22,2,0,0,0,0,0,0,0,0,0,0.0
PD5-02,-1,0,0,0,0,0,0,0,0,0,0.0
PD5-17,24,0,0,0,0,0,0,0,0,0,0.0
PD5-06,29,0,0,0,0,0,0,0,0,0,0.0
PD5-23,7,0,0,0,0,0,0,0,0,0,0.0
PD5-03,2,0,0,0,0,0,0,0,0,0,0.0
PD5-18,23,0,0,0,0,0,0,0,0,0,0.0
PD5-08,27,0,0,0,0,0,0,0,0,0,0.0
PD5-11,-2,0,0,0,0,0,0,0,0,0,0.0
PD5-19,22,0,0,0,0,0,0,0,0,0,0.0
PD5-09,18,0,0,0,0,0,0,0,0,0,0.0
PD5-13,-6,0,0,0,0,0,0,0,0,0,0.0
PD5-20,18,0,0,0,0,0,0,0,0,0,0.0
PD5-10,40,0,0,0,0,0,0,0,0,0,0.0
PD5-16,4,0,0,0,0,0,0,0,0,0,0.0
PD5-01,-1,0,0,0,0,0,0,0,0,0,0.0
PD5-15,19,0,0,0,0,0,0,0,0,0,0.0
PD5-05,12,0,0,0,0,0,0,0,0,0,0.0
PD5-14,0,0,0,0,0,0,0,0,0,0,0.0
PD5-24,24,0,0,0,0,0,0,0,0,0,0.0
PD5-12,20,0,0,0,0,0,0,0,0,0,0.0
PD5-04,23,0,0,0,0,0,0,0,0,0,0.0
