,name,frame,left_count,right_count,982
0,PD06-07,168,0,1,
1,PD06-07,197,1,0,
2,PD06-07,217,0,1,
3,PD06-07,365,0,1,
4,PD06-07,383,1,0,
5,PD06-07,403,0,1,
6,PD06-07,934,0,1,
7,PD06-07,1256,1,0,
8,PD06-07,1548,1,0,
9,PD06-07,1564,0,1,
10,PD06-07,1582,1,0,
11,PD06-07,1885,0,1,
12,PD06-07,1908,1,0,
13,PD06-07,1940,0,1,
14,PD06-07,1992,0,1,
15,PD06-07,2229,0,1
16,PD06-07,2250,1,0
17,PD06-07,2271,0,1
18,PD06-07,2306,1,0
19,PD06-07,2503,0,1
20,PD06-07,2521,1,0
21,PD06-07,2545,0,1
22,PD06-07,2736,0,1
23,PD06-07,2767,1,1
24,PD06-07,3091,0,1
25,PD06-07,3446,0,1
26,PD06-07,3478,1,0
27,PD06-07,3499,0,1
28,PD06-07,3917,0,1
29,PD06-07,3947,1,0
30,PD06-07,4024,1,0
31,PD06-07,4456,0,1
32,PD06-07,4485,1,0
33,PD06-07,4504,0,1
34,PD06-07,4806,0,1
35,PD06-07,4832,1,0
36,PD06-07,4845,0,1
37,PD06-07,5043,0,1
38,PD06-07,5062,1,0
39,PD06-07,5080,0,1
40,PD06-07,5179,1,0
41,PD06-07,5790,0,1
42,PD06-07,5832,1,0
43,PD06-07,5842,0,1
44,PD06-07,6162,1,0
45,PD06-07,6125,0,1
46,PD06-07,6832,1,0
47,PD06-07,6859,0,1
48,PD06-07,6870,1,0
49,PD06-07,7197,0,1
50,PD06-07,7242,1,1
51,PD06-07,7312,1,0
52,PD06-07,8006,0,1
53,PD06-07,8030,1,0
54,PD06-07,8471,0,1
55,PD06-07,8496,1,0
56,PD06-07,8571,1,0
57,PD06-07,8581,0,1
58,PD06-07,8676,1,0
59,PD06-07,9291,0,1
60,PD06-07,9688,0,1
61,PD06-07,9714,1,0
62,PD06-07,9751,1,0
63,PD06-07,9788,1,0
64,PD06-07,10840,0,1
65,PD06-07,10862,1,0
66,PD06-07,11188,1,1
67,PD06-07,12180,0,1
68,PD06-07,12206,1,0
69,PD06-07,13737,1,1
70,PD06-07,14097,1,1
71,PD06-07,14816,1,1
72,PD06-07,16150,1,1
73,PD06-07,16558,1,1
74,PD06-07,16980,1,1
75,PD06-07,17014,1,0
76,PD06-07,17400,1,1
77,PD06-07,17465,1,0
78,PD06-07,17513,1,0
79,PD06-07,17729,1,0
80,PD06-07,17728,0,1
81,PD06-07,17851,0,1
82,PD06-07,17900,1,0
83,PD06-07,19219,1,1
84,PD06-07,19633,1,1
85,PD06-07,19715,1,0
86,PD06-07,21080,1,0
87,PD06-07,21116,0,1
88,PD06-07,21151,0,1
89,PD06-07,22348,1,1
90,PD06-07,22835,1,1
91,PD06-07,26545,1,0
92,PD06-07,26544,0,1
93,PD06-07,27207,1,1
94,PD06-07,27894,1,1
95,PD06-07,28040,1,1
96,PD06-07,28440,1,1
97,PD06-07,29925,1,1
98,PD06-07,31165,1,1
99,PD06-07,31199,1,0
100,PD06-07,31581,1,0
101,PD06-07,31580,0,1
102,PD06-07,32683,1,1
103,PD06-07,33706,1,1
104,PD06-07,33744,1,0
105,PD06-07,33762,0,1
